Frame,AX,AY,AZ,GX,GY,GZ
647,24,70,8151,2,1,11
648,24,70,8151,2,1,11
649,24,70,8151,2,1,11
650,24,70,8151,2,1,11
651,24,70,8151,2,1,11
652,24,70,8151,2,1,9
653,32,66,8023,1,1,9
654,32,66,8023,1,1,9
655,32,66,8023,1,1,9
656,32,66,8023,1,1,9
657,32,66,8023,1,1,9
658,32,66,8023,1,1,9
659,32,66,8023,1,1,9
660,32,66,8023,1,1,9
661,32,66,8023,1,1,9
662,32,66,8023,1,1,9
663,32,66,8023,1,1,9
664,32,66,8023,1,1,9
665,32,66,8023,1,1,9
666,32,66,8023,1,1,9
667,32,66,8023,1,1,9
668,32,66,8023,1,1,9
669,32,66,8023,1,1,9
670,32,66,8023,1,1,9
671,32,66,8023,1,1,9
672,32,66,8023,1,1,9
673,32,66,8023,1,1,9
674,32,66,8023,1,1,9
675,32,66,8023,1,1,9
676,32,66,8023,1,1,9
677,32,66,8023,1,1,9
678,32,66,8023,1,1,9
679,32,66,8023,1,1,9
680,32,66,8023,1,1,9
681,32,66,8023,1,1,9
682,32,66,8023,1,1,9
683,32,66,8023,1,1,9
684,32,66,8023,1,1,9
685,32,66,8023,1,1,9
686,32,66,8023,1,1,9
687,32,66,8023,1,1,9
688,32,66,8023,1,1,9
689,32,66,8023,1,1,9
690,32,66,8023,1,1,9
691,32,66,8023,1,1,9
692,32,66,8023,1,1,9
693,32,66,8023,1,1,9
694,32,66,8023,1,1,9
695,32,66,8023,1,1,9
696,32,66,8023,1,1,9
697,32,66,8023,1,1,9
698,32,66,8023,1,1,9
699,32,66,8023,1,1,9
700,32,66,8023,1,1,9
701,32,66,8023,1,1,9
702,32,66,8023,1,1,9
703,32,66,8023,1,1,9
704,32,66,8023,1,1,9
705,32,66,8023,1,1,9
706,32,66,8023,1,1,9
707,32,66,8023,1,1,9
708,32,66,8023,1,1,9
709,32,66,8023,1,1,9
710,32,66,8023,1,1,9
711,32,66,8023,1,1,9
712,32,66,8023,1,1,9
713,32,66,8023,1,1,9
714,32,66,8023,1,1,9
715,32,66,8023,1,1,9
716,32,66,8023,1,1,9
717,32,66,8023,1,1,9
718,32,66,8023,1,1,9
719,32,66,8023,1,1,9
720,46,56,8077,1,1,10
721,46,56,8077,1,1,10
722,46,56,8077,1,1,10
723,46,56,8077,1,1,10
724,46,56,8077,1,1,10
725,46,56,8077,1,1,10
726,46,56,8077,1,1,10
727,46,56,8077,1,1,10
728,46,56,8077,1,1,10
729,46,56,8077,1,1,10
730,46,56,8077,1,1,10
731,46,56,8077,1,1,10
732,46,56,8077,1,1,10
733,46,56,8077,1,1,10
734,46,56,8077,1,1,10
735,46,56,8077,1,1,10
736,46,56,8077,1,1,10
737,46,56,8077,1,1,10
738,46,56,8077,1,1,10
739,46,56,8077,1,1,10
740,46,56,8077,1,1,10
741,46,56,8077,1,1,10
742,46,56,8077,1,1,10
743,46,56,8077,1,1,10
744,46,56,8077,1,1,10
745,46,56,8077,1,1,10
746,46,56,8077,1,1,10
747,46,56,8077,1,1,10
748,46,56,8077,1,1,10
749,46,56,8077,1,1,10
750,46,56,8077,1,1,10
751,46,56,8077,1,1,10
752,46,56,8077,1,1,10
753,46,56,8077,1,1,10
754,46,56,8077,1,1,10
755,46,56,8077,1,1,10
756,46,56,8077,1,1,10
757,46,56,8077,1,1,10
758,46,56,8077,1,1,10
759,46,56,8077,1,1,10
760,46,56,8077,1,1,10
761,46,56,8077,1,1,10
762,46,56,8077,1,1,10
763,46,56,8077,1,1,10
764,46,56,8077,1,1,10
765,46,56,8077,1,1,10
766,46,56,8077,1,1,10
767,46,56,8077,1,1,10
768,46,56,8077,1,1,10
769,46,56,8077,1,1,10
770,46,56,8077,1,1,10
771,46,56,8077,1,1,10
772,46,56,8077,1,1,10
773,46,56,8077,1,1,10
